unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00058,54.1,0.4164,0.5,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.61774,70.3,0.03752,0.1088,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.27673,62.2,0.06011,0.1358,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.01661,51.4,0.2253,0.3497,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.02874,54.1,0.3254,0.4184,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,37,0.00088,45.9,0.4223,0.5,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,37,-0.90549,73,0.001713,0.04129,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,37,-0.596,64.9,0.007893,0.05074,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,37,-0.04532,62.2,0.1671,0.2786,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,37,-0.03377,51.4,0.3146,0.4164,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,38,-0.00396,63.2,0.04219,0.1088,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,38,-0.78178,65.8,0.02969,0.1028,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,38,-0.96519,65.8,0.02191,0.08707,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,38,-0.01367,55.3,0.3008,0.4164,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,38,0.01429,42.1,0.5519,0.6058,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00135,54.1,0.1748,0.2809,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.64021,73,0.006965,0.05074,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.39218,70.3,0.005878,0.05074,ns
