unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.00058,54.1,0.4164,0.4461,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.61774,70.3,0.03752,0.1023,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.27673,62.2,0.06011,0.1428,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.01661,51.4,0.2253,0.2939,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,-0.02874,54.1,0.3254,0.3755,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00109,54.7,0.06187,0.1428,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-0.84923,69.3,0.000346,0.009948,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-0.76621,65.3,0.0009948,0.009948,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.03411,58.7,0.1449,0.2173,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,0.01112,46.7,0.3647,0.4052,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00135,54.1,0.1748,0.2497,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.64021,73,0.006965,0.02322,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.39218,70.3,0.005878,0.02322,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.01661,51.4,0.1053,0.1857,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,-0.05544,62.2,0.09986,0.1857,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00058,54.7,0.1309,0.2067,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-0.74408,68,0.002587,0.0194,*
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-0.76621,61.3,0.006021,0.02322,*
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,75,-0.03411,58.7,0.2355,0.2944,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,75,0.02237,42.7,0.6273,0.6412,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00084,51.4,0.3146,0.3755,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-0.64021,70.3,0.01938,0.05813,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-0.596,70.3,0.00563,0.02322,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,-0.03947,54.1,0.1258,0.2067,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,37,-0.0588,62.2,0.0849,0.1773,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,75,-0.00072,56,0.08864,0.1773,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,75,-0.74408,69.3,0.0008317,0.009948,**
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,75,-0.66392,61.3,0.006781,0.02322,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,75,-0.0165,57.3,0.2088,0.2847,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,75,0.02088,42.7,0.6412,0.6412,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,106,-9e-04,55.7,0.05061,0.1403,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,106,-0.83435,70.8,5.718e-05,0.001715,**
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,106,-0.76905,65.1,0.0002102,0.00262,**
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,106,-0.03604,57.5,0.08323,0.1686,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,106,0.0064,48.1,0.3398,0.4433,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,6,0.00213,33.3,0.8527,0.8527,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,6,0.22775,50,0.6625,0.7098,ns
