unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,-0.00014,54.5,0.1817,0.6225,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.59328,59.1,0.1571,0.6225,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.80039,68.2,0.1027,0.6225,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,-0.00492,50,0.5645,0.6852,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.01205,54.5,0.5388,0.6852,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,21,-9e-05,52.4,0.5826,0.6852,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,21,-0.11639,57.1,0.2545,0.6225,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,21,-0.39681,52.4,0.4174,0.6477,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,21,-0.0075,57.1,0.2021,0.6225,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,21,-0.00385,52.4,0.3641,0.6389,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,22,0.00091,45.5,0.5259,0.6852,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,22,0.34379,40.9,0.6395,0.6852,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,22,-0.77936,63.6,0.09158,0.6225,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,22,0.00061,50,0.3851,0.6389,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,22,0.00285,45.5,0.4741,0.6849,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,-0.00051,59.1,0.1494,0.6225,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.59328,59.1,0.2085,0.6225,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.93784,68.2,0.2179,0.6225,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.01189,59.1,0.4483,0.6725,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.02581,59.1,0.3365,0.6389,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,21,0.00139,38.1,0.8813,0.8813,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,21,0.3221,42.9,0.8076,0.8259,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,21,0.26715,47.6,0.6095,0.6852,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,21,0.00215,47.6,0.2327,0.6225,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,21,0.0127,42.9,0.6359,0.6852,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,22,-0.00052,54.5,0.2905,0.6225,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,22,-0.2424,54.5,0.08635,0.6225,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,22,-0.89066,68.2,0.02383,0.6225,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,22,0.00061,50,0.4871,0.6849,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,22,-0.00466,50,0.3727,0.6389,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,-0.00014,54.5,0.2477,0.6225,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.66096,59.1,0.2085,0.6225,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.75764,63.6,0.2687,0.6225,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,-0.01189,59.1,0.3851,0.6389,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.02581,59.1,0.2905,0.6225,ns
