response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0364,0.0382,-0.5,53.8,0.4428,0.6395, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0353,0.0393,0.77,47.7,0.3844,0.6395, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0372,0.035,0.15,49.2,0.5777,0.6419, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0366,0.0352,-0.13,50.8,0.6573,0.68, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.036,0.0392,-0.87,50.8,0.4532,0.6395, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0362,0.0404,-0.21,53.8,0.3744,0.6395, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0372,0.0355,0.65,46.2,0.7369,0.7494, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0371,0.0364,-0.6,53.8,0.3769,0.6395, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0261,0.0261,-0.05,50.8,0.5026,0.6395, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0256,0.0261,0.2,47.7,0.5572,0.6395, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0264,0.0268,0.38,47.7,0.5052,0.6395, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0264,0.0259,0.29,49.2,0.633,0.68, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.6935,4.4624,-2.73,52.3,0.2089,0.5904, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.8136,4.5677,-0.73,52.3,0.1978,0.5904, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.1287,4.3198,-0.43,52.3,0.139,0.5855, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.0851,4.2247,-1.6,56.9,0.1001,0.4837, ns
GPPsat,Anomaly / 24m,C vs C+D,65,4.63,4.4481,-1.22,52.3,0.207,0.5904, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,4.7111,4.3311,-2.91,56.9,0.1464,0.5855, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.1042,4.1036,-0.72,53.8,0.1048,0.4837, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.1135,4.1194,-0.86,55.4,0.196,0.5904, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.542,3.3665,-1.08,55.4,0.43,0.6395, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.3861,3.3544,-0.57,52.3,0.3844,0.6395, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.5569,3.4027,0.13,49.2,0.448,0.6395, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.439,3.4716,0.07,47.7,0.5416,0.6395, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.4646,4.2528,-5.92,58.5,0.0584,0.3893, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.4672,4.3472,-7.15,63.1,0.03721,0.3189, ns
