unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-0.00015,54.8,0.295,0.3404,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.06414,54.8,0.2253,0.2775,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.27937,61.3,0.06692,0.1544,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.05124,64.5,0.06692,0.1544,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,-0.04249,64.5,0.06441,0.1544,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,62,-0.00029,54.8,0.3815,0.4088,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,62,-0.64745,59.7,0.01931,0.1544,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,62,-0.81548,61.3,0.02781,0.1544,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,62,-0.02538,53.2,0.1073,0.2146,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,62,-0.01601,51.6,0.3118,0.3464,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,2e-05,48.4,0.6774,0.7008,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.53547,61.3,0.05297,0.1544,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.41802,64.5,0.03807,0.1544,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.01405,58.1,0.1179,0.215,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,-0.03734,64.5,0.1218,0.215,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,62,-0.00036,58.1,0.1684,0.2406,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,62,-0.09309,56.5,0.08579,0.1838,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,62,-0.61629,59.7,0.03982,0.1544,ns
