response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.035,0.0363,-0.78,54.5,0.05664,0.1678, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.035,0.0365,-1.81,54.5,0.04854,0.1553, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0346,0.0334,0.66,44.6,0.5041,0.7133, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0352,0.0337,0.82,47.3,0.526,0.7133, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0338,0.036,-0.51,52.7,0.1046,0.2886, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0337,0.0368,-1.47,54.5,0.1184,0.3157, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0339,0.0333,1.46,43.8,0.654,0.7475, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.035,0.0335,0.55,47.3,0.4521,0.7133, ns
ETmax,Raw-lag / 12m,C vs C+D,112,0.035,0.0363,-0.78,54.5,0.05664,0.1678, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0274,0.0268,-0.21,51.8,0.4486,0.7133, ns
ETmax,Raw-lag / 12m,C+T vs C+T+D,112,0.0346,0.0334,0.66,44.6,0.5041,0.7133, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0278,0.0271,0.07,48.2,0.8029,0.8342, ns
ETmax,Raw-lag / 24m,C vs C+D,112,0.0338,0.036,-0.51,52.7,0.1046,0.2886, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.0252,0.0253,0.41,45.5,0.7039,0.7821, ns
ETmax,Raw-lag / 24m,C+T vs C+T+D,112,0.0339,0.0333,1.46,43.8,0.654,0.7475, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0267,0.0262,0.17,49.1,0.7997,0.8342, ns
