response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0361,0.0399,0.49,49.2,0.3645,0.624, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0363,0.0405,0.73,49.2,0.4019,0.634, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0364,0.0367,1.53,44.6,0.7874,0.8436, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0368,0.0366,1.32,43.1,0.7174,0.7971, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0392,0.0418,0.05,49.2,0.3744,0.624, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0386,0.0421,-0.91,53.8,0.2165,0.5053, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0371,0.0374,0.24,44.6,0.5468,0.7291, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0374,0.0373,1.57,43.1,0.6972,0.7892, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0271,0.0262,0.68,49.2,0.5078,0.7195, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0264,0.0264,-0.67,52.3,0.4121,0.634, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0261,0.0268,0.61,47.7,0.6833,0.7892, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0267,0.0267,-0.27,52.3,0.296,0.573, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.7144,4.6202,-2.29,52.3,0.1464,0.4929, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.7041,4.5854,-2.43,53.8,0.1479,0.4929, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.1841,4.6774,-1.66,56.9,0.09232,0.3959, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.2056,4.6116,-1.71,61.5,0.06072,0.3312, ns
GPPsat,Anomaly / 24m,C vs C+D,65,4.7153,4.4148,-4.24,53.8,0.09561,0.3959, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,4.6817,4.4909,-2.72,50.8,0.09898,0.3959, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.0374,4.6564,-2.48,61.5,0.05994,0.3312, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.0526,4.6792,-2.08,58.5,0.05468,0.3312, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.5475,3.6909,-0.03,50.8,0.6305,0.7882, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.6166,3.6342,-0.53,52.3,0.513,0.7195, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.5846,3.5493,-0.57,52.3,0.5313,0.7244, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.5157,3.516,0.11,47.7,0.5156,0.7195, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.7525,4.7415,-7.28,60,0.05541,0.3312, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.6708,4.5567,-8.49,60,0.05764,0.3312, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.8181,4.513,-3.86,67.7,0.01578,0.2735, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.9591,4.4104,-3.76,69.2,0.009159,0.2735, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.4168,4.4756,-8.37,66.2,0.02614,0.2735, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.3952,4.2691,-8.99,64.6,0.02735,0.2735, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,4.888,4.4144,-2.35,64.6,0.01977,0.2735, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.9693,4.3282,-2.82,60,0.07342,0.3671, ns
NEPmax,Raw-lag / 12m,C+M vs C+M+D,65,2.7184,2.8764,-1.05,55.4,0.2184,0.5053, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,2.7332,2.6613,-0.39,55.4,0.3379,0.5963, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,65,3.0565,2.9441,-2.88,64.6,0.004921,0.2735, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,2.8149,2.7092,-0.18,50.8,0.319,0.58, ns
WUE,Anomaly / 12m,C vs C+D,65,0.6484,0.6324,-0.55,53.8,0.1603,0.5053, ns
WUE,Anomaly / 12m,C+M vs C+M+D,65,0.6434,0.6556,-0.33,53.8,0.2695,0.539, ns
WUE,Anomaly / 12m,C+T vs C+T+D,65,0.6809,0.6877,-1.1,56.9,0.2108,0.5053, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.6943,0.685,-0.33,52.3,0.1449,0.4929, ns
WUE,Anomaly / 24m,C vs C+D,65,0.6019,0.6314,-1.09,53.8,0.2442,0.5053, ns
WUE,Anomaly / 24m,C+M vs C+M+D,65,0.6135,0.6187,-1.34,60,0.2361,0.5053, ns
WUE,Anomaly / 24m,C+T vs C+T+D,65,0.6753,0.6731,-0.96,56.9,0.2402,0.5053, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.678,0.667,-0.98,53.8,0.2381,0.5053, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,65,0.4973,0.4874,-0.28,52.3,0.4792,0.7187, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.4904,0.4695,-0.11,50.8,0.6857,0.7892, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,65,0.4832,0.4832,-0.61,58.5,0.3074,0.5764, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.4827,0.482,-0.13,52.3,0.6621,0.7892, ns
uWUE,Anomaly / 12m,C vs C+D,65,0.5865,0.5849,0.12,49.2,0.57,0.7435, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,65,0.5656,0.5774,0.56,47.7,0.7412,0.8085, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,65,0.6024,0.6126,-0.18,50.8,0.2262,0.5053, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.5779,0.6102,-0.85,53.8,0.2203,0.5053, ns
uWUE,Anomaly / 24m,C vs C+D,65,0.5318,0.5499,1.18,40,0.6573,0.7892, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,65,0.5391,0.5517,0.14,49.2,0.4019,0.634, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,65,0.5759,0.602,-0.91,52.3,0.196,0.5053, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.5617,0.5882,-0.5,52.3,0.6081,0.7763, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,65,0.4234,0.4479,1.71,41.5,0.8381,0.8763, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.4327,0.4683,0.73,44.6,0.8763,0.8763, ns
