unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00045,45.5,0.2795,0.4836,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.73706,63.6,0.142,0.4836,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.74859,63.6,0.09158,0.4836,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,-0.01383,54.5,0.2477,0.4836,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,0.00441,45.5,0.7313,0.7313,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,43,-6e-05,51.2,0.5169,0.5964,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,43,0.14685,46.5,0.3385,0.4836,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,43,-0.46247,58.1,0.1454,0.4836,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,43,-0.00048,53.5,0.218,0.4836,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,43,-0.00159,51.2,0.4591,0.5964,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,9e-05,50,0.2276,0.4836,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.73706,63.6,0.1817,0.4836,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.88824,63.6,0.1571,0.4836,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,-0.01383,54.5,0.1993,0.4836,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.02048,54.5,0.4612,0.5964,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,43,0.00032,48.8,0.5837,0.6485,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,43,0.14685,46.5,0.3039,0.4836,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,43,-0.46247,58.1,0.1195,0.4836,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,43,-0.00048,53.5,0.2552,0.4836,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,43,0.00668,46.5,0.6392,0.6612,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,0.00045,45.5,0.3247,0.4836,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,22,-0.73706,63.6,0.1817,0.4836,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,22,-0.74859,59.1,0.2276,0.4836,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,22,-0.01383,54.5,0.1817,0.4836,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,22,-0.02048,54.5,0.5,0.5964,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,43,-6e-05,51.2,0.488,0.5964,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,43,0.14685,46.5,0.3081,0.4836,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,43,-0.60829,60.5,0.07283,0.4836,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,43,-0.00048,53.5,0.271,0.4836,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,43,0.00668,46.5,0.6255,0.6612,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,62,3e-04,48.4,0.363,0.6496,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,62,-0.22635,53.2,0.1086,0.4741,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,62,-0.66154,61.3,0.03524,0.4405,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,62,-0.01211,54.8,0.1153,0.4741,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,62,-0.00048,50,0.5168,0.6637,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,3,-1e-04,66.7,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,3,0.71993,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,3,0.92733,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,3,0.00229,33.3,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,3,0.04348,33.3,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,58,3e-04,48.3,0.3638,0.6496,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,58,-0.22635,51.7,0.1049,0.4741,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,58,-0.66154,60.3,0.03502,0.4405,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,58,-0.01211,55.2,0.159,0.4749,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,58,0.00315,48.3,0.5585,0.6637,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,-1e-04,57.1,0.4663,0.6637,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,-0.0021,57.1,0.6637,0.6637,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,-0.11254,57.1,0.6001,0.6637,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,0.00229,42.9,0.4663,0.6637,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,7,-0.02925,57.1,0.6637,0.6637,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,56,3e-04,48.2,0.4659,0.6637,ns
