response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0332,0.0388,0.54,48.4,0.6189,0.7282, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0336,0.0386,0.6,47.3,0.5442,0.6664, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.036,0.034,-0.3,51.6,0.3811,0.5993, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0356,0.0336,0.93,44.1,0.7884,0.8017, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0327,0.0364,-0.4,52.7,0.4031,0.5993, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0334,0.0382,-1.34,54.8,0.471,0.6143, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0346,0.0345,0.44,47.3,0.4421,0.6029, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.0348,0.0342,0.01,49.5,0.6689,0.7555, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0262,0.0252,0.64,48.4,0.4121,0.5993, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0276,0.0269,-0.33,51.6,0.5244,0.6664, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0264,0.0266,0.16,48.4,0.4076,0.5993, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0279,0.0273,-0.31,51.6,0.4195,0.5993, ns
GPPsat,Anomaly / 12m,C vs C+D,93,5.9237,5.4483,-8.81,62.4,0.007329,0.02932,*
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,5.9185,5.3812,-8.78,62.4,0.006875,0.02932,*
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.9415,5.447,-3.64,64.5,0.0008393,0.006294,**
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.9785,5.558,-5.59,64.5,0.000248,0.002976,**
GPPsat,Anomaly / 24m,C vs C+D,93,5.7668,5.6514,-6.19,58.1,0.008059,0.03022,*
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,5.7771,5.597,-6,59.1,0.005977,0.02758,*
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,5.8831,5.7506,-4.59,64.5,0.0007261,0.006294,**
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,6.0204,5.8322,-4.39,62.4,0.0008283,0.006294,**
GPPsat,Raw-lag / 12m,C+M vs C+M+D,93,3.5468,3.5078,0.31,48.4,0.7679,0.8003, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.4554,3.4244,-0.16,50.5,0.5397,0.6664, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,93,3.6742,3.6049,0.46,46.2,0.6799,0.7555, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.4901,3.4567,-0.4,52.7,0.3423,0.5868, ns
NEPmax,Anomaly / 12m,C vs C+D,93,5.12,4.7251,-9.49,60.2,0.003112,0.01556,*
NEPmax,Anomaly / 12m,C+M vs C+M+D,93,5.4147,4.7369,-7.59,57,0.003076,0.01556,*
NEPmax,Anomaly / 12m,C+T vs C+T+D,93,5.5636,4.6808,-6.9,78.5,5.802e-07,3.481e-05,***
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.6643,4.8767,-9.17,67.7,4.098e-06,8.804e-05,***
NEPmax,Anomaly / 24m,C vs C+D,93,5.4049,4.7957,-12.35,62.4,0.002261,0.01357,*
NEPmax,Anomaly / 24m,C+M vs C+M+D,93,5.4616,4.806,-10.38,62.4,0.001568,0.01045,*
NEPmax,Anomaly / 24m,C+T vs C+T+D,93,5.6531,4.878,-7,69.9,1.293e-05,0.000194,***
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.5955,5.0814,-9.18,72,4.402e-06,8.804e-05,***
NEPmax,Raw-lag / 12m,C+M vs C+M+D,93,2.6438,2.6877,-0.3,50.5,0.13,0.312, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,2.5885,2.8284,-0.09,51.6,0.4542,0.6057, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,93,2.7922,2.9492,0.01,49.5,0.3928,0.5993, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,2.6803,2.8297,-0.67,53.8,0.4376,0.6029, ns
WUE,Anomaly / 12m,C vs C+D,93,0.7168,0.682,-3.16,54.8,0.08871,0.2801, ns
WUE,Anomaly / 12m,C+M vs C+M+D,93,0.7204,0.6849,-3.45,55.9,0.08628,0.2801, ns
WUE,Anomaly / 12m,C+T vs C+T+D,93,0.7204,0.6757,-2.88,57,0.1182,0.2955, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.7118,0.6661,-1.52,52.7,0.1759,0.3518, ns
WUE,Anomaly / 24m,C vs C+D,93,0.6938,0.6647,-3.58,54.8,0.103,0.2944, ns
WUE,Anomaly / 24m,C+M vs C+M+D,93,0.6929,0.6575,-3.36,53.8,0.1469,0.3148, ns
WUE,Anomaly / 24m,C+T vs C+T+D,93,0.7079,0.6653,-2.48,57,0.09633,0.289, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.7143,0.6482,-1.08,54.8,0.08749,0.2801, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,93,0.4861,0.4714,-0.63,54.8,0.4165,0.5993, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.4734,0.4551,-1.05,52.7,0.7737,0.8003, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,93,0.4802,0.4788,-1.65,59.1,0.284,0.5012, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.4679,0.4645,-0.63,57,0.5939,0.7127, ns
uWUE,Anomaly / 12m,C vs C+D,93,0.6885,0.6902,-2.53,52.7,0.1596,0.3302, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,93,0.7087,0.6888,-1.49,54.8,0.2229,0.4052, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,93,0.6847,0.6573,-2.71,54.8,0.1443,0.3148, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.6816,0.6636,-2.55,55.9,0.1123,0.2955, ns
uWUE,Anomaly / 24m,C vs C+D,93,0.6942,0.6809,-1.75,54.8,0.2172,0.4052, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,93,0.7123,0.6775,-2.58,54.8,0.2007,0.3885, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,93,0.6686,0.6562,-2.02,53.8,0.1408,0.3148, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.6659,0.6469,-1.3,59.1,0.1152,0.2955, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,93,0.4546,0.4763,0.62,46.2,0.7475,0.8003, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.4516,0.4813,0.8,47.3,0.8251,0.8251, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,93,0.433,0.4612,0.32,46.2,0.7351,0.8003, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.4368,0.4609,0.27,47.3,0.6435,0.7425, ns
