response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.0358,0.0374,-5.45,58.9,0.01393,0.0418,*
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0342,0.0389,-4.15,58,0.04089,0.08763, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0351,0.0341,-1.38,51.8,0.1883,0.2487, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0334,0.0338,-0.56,50,0.3374,0.3749, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0333,0.0357,-1.99,54.5,0.1094,0.1898, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0346,0.0392,-1.95,52.7,0.1579,0.2369, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0366,0.0347,1.08,48.2,0.7437,0.7563, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0347,0.035,-0.59,51.8,0.1899,0.2487, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0284,0.0275,-0.38,52.7,0.2498,0.2939, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.027,0.0279,-1.7,56.2,0.1791,0.2487, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.0263,0.0259,1.84,46.4,0.3797,0.4068, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0264,0.0271,1.36,46.4,0.7593,0.7593, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.3276,5.6032,-11.07,66.1,0.0002568,0.001027,**
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,5.4435,5.5325,-14.74,68.8,4.491e-06,7.047e-05,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,5.432,4.5836,-14.09,69.6,3.111e-06,7.047e-05,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.2932,4.7756,-13,68.8,2.515e-05,0.0001509,***
GPPsat,Anomaly / 24m,C vs C+D,112,5.5253,5.4732,-14.51,67.9,1.54e-05,0.0001053,***
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.4914,5.1914,-12.88,67,5.872e-06,7.047e-05,***
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,5.2668,4.9272,-11.02,69.6,6.698e-05,0.0003349,***
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,112,5.2629,4.9177,-10.15,69.6,1.427e-05,0.0001053,***
GPPsat,Raw-lag / 12m,C+M vs C+M+D,112,3.5202,3.4332,-0.99,56.2,0.06916,0.1339, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.7185,3.4714,-5.26,59.8,0.0009061,0.003198,**
GPPsat,Raw-lag / 24m,C+M vs C+M+D,112,3.2799,3.3167,-2.49,57.1,0.03721,0.0827, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,112,3.2343,3.227,-1.22,54.5,0.3449,0.3762, ns
NEPmax,Anomaly / 12m,C vs C+D,112,4.9211,4.4572,-12.14,62.5,0.0001619,0.0006937,***
NEPmax,Anomaly / 12m,C+M vs C+M+D,112,4.654,4.583,-11.15,63.4,0.0004459,0.001672,**
NEPmax,Anomaly / 12m,C+T vs C+T+D,112,4.6547,4.5345,-13.02,65.2,1.58e-05,0.0001053,***
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,4.6025,4.1841,-15.51,67.9,5.001e-06,7.047e-05,***
NEPmax,Anomaly / 24m,C vs C+D,112,4.7387,4.7454,-15.31,67.9,5.882e-05,0.0003208,***
NEPmax,Anomaly / 24m,C+M vs C+M+D,112,4.5318,4.5952,-19.85,64.3,9.721e-05,0.0004487,***
NEPmax,Anomaly / 24m,C+T vs C+T+D,112,4.5541,4.4552,-15.18,67.9,5.795e-06,7.047e-05,***
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,4.7839,4.4808,-11.06,68.8,1.321e-05,0.0001053,***
NEPmax,Raw-lag / 12m,C+M vs C+M+D,112,2.9812,2.7134,0.47,49.1,0.1979,0.2526, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.0983,3.0004,-1.46,52.7,0.05967,0.1193, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,112,2.6054,2.607,-0.52,50.9,0.2153,0.2647, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,2.5506,2.6758,-1.33,52.7,0.436,0.4589, ns
WUE,Anomaly / 12m,C vs C+D,112,0.7202,0.7403,-5.96,59.8,0.08875,0.1664, ns
WUE,Anomaly / 12m,C+M vs C+M+D,112,0.7102,0.7599,-6.57,60.7,0.03316,0.07959, ns
WUE,Anomaly / 12m,C+T vs C+T+D,112,0.7424,0.7547,-5.41,58,0.04297,0.08891, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.745,0.7259,-4.05,60.7,0.02796,0.07625, ns
WUE,Anomaly / 24m,C vs C+D,112,0.7553,0.7565,-5.43,61.6,0.0321,0.07959, ns
WUE,Anomaly / 24m,C+M vs C+M+D,112,0.7819,0.7095,-6.87,58,0.03537,0.08161, ns
WUE,Anomaly / 24m,C+T vs C+T+D,112,0.77,0.7479,-5.76,58.9,0.01265,0.03994,*
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.7492,0.7046,-6.82,60.7,0.005655,0.01885,*
WUE,Raw-lag / 12m,C+M vs C+M+D,112,0.4925,0.4953,-3.01,52.7,0.1127,0.1898, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.4703,0.5029,-0.92,52.7,0.3165,0.3583, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,112,0.4419,0.4652,-0.51,51.8,0.1636,0.2394, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.4455,0.4643,-0.68,51.8,0.467,0.4831, ns
uWUE,Anomaly / 12m,C vs C+D,112,0.6823,0.689,-0.61,51.8,0.1285,0.2028, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,112,0.6615,0.6696,-2.84,52.7,0.2161,0.2647, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,112,0.6958,0.7047,-2.6,52.7,0.186,0.2487, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.7008,0.694,-1.73,54.5,0.126,0.2028, ns
uWUE,Anomaly / 24m,C vs C+D,112,0.688,0.6788,-1.67,55.4,0.1139,0.1898, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,112,0.687,0.6726,-1.65,53.6,0.1062,0.1898, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,112,0.7155,0.6862,-1.78,53.6,0.1907,0.2487, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.7316,0.7025,-0.34,50,0.2648,0.3056, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,112,0.4581,0.4854,-1.98,55.4,0.1417,0.218, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.4654,0.4898,-2.35,59.8,0.03067,0.07959, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,112,0.427,0.4392,-3.25,59.8,0.01545,0.04413,*
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.4122,0.4313,-0.55,51.8,0.2353,0.2824, ns
