response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0382,0.0399,0.36,49.2,0.6305,0.733, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0388,0.0411,-0.17,52.3,0.7537,0.7934, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0356,0.0361,1.79,41.5,0.8892,0.8892, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0344,0.0367,-1.03,55.4,0.367,0.5328, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0443,0.0409,1,44.6,0.6903,0.753, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.044,0.0439,-1.53,55.4,0.1405,0.3664, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0347,0.0355,-1.95,53.8,0.4713,0.5892, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0348,0.0358,0.79,43.1,0.7152,0.7662, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0276,0.028,1.52,46.2,0.8867,0.8892, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0274,0.027,-1.87,52.3,0.2184,0.4855, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0269,0.029,0.46,46.2,0.6597,0.733, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0268,0.0272,-0.71,58.5,0.2609,0.4855, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.5245,4.7813,-5.3,53.8,0.2463,0.4855, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,5.0052,4.7891,-2.91,52.3,0.2871,0.4855, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.4182,5.2968,-2.79,56.9,0.08807,0.3108, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.6301,5.1199,-3.75,63.1,0.05468,0.2557, ns
GPPsat,Anomaly / 24m,C vs C+D,65,5.0593,4.8668,-3.48,58.5,0.1291,0.3664, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,5.113,5.006,-7.33,58.5,0.08807,0.3108, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.4686,5.5956,-3.55,60,0.03463,0.2557, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.5584,5.2467,-1.54,60,0.06558,0.2794, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.8412,3.6939,-1.31,52.3,0.3028,0.4855, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.7401,3.8063,-2.12,58.5,0.05047,0.2557, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.6375,3.645,-1.15,53.8,0.1121,0.3363, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.8459,3.85,0.11,49.2,0.276,0.4855, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.5571,4.4149,-9.67,60,0.05541,0.2557, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.5719,4.3046,-7.36,63.1,0.03668,0.2557, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.4723,4.1503,-4.25,58.5,0.03668,0.2557, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.7971,4.0961,-5.87,67.7,0.01359,0.2557, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.2624,4.7069,-10.93,66.2,0.0163,0.2557, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.2346,4.5871,-9.45,64.6,0.05116,0.2557, ns
