unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,-0.0021,62.2,0.1525,0.1906,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-1.14093,70.3,0.008226,0.02057,*
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.7033,73,0.001713,0.005138,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.01452,54.1,0.212,0.2355,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,0.07593,45.9,0.6907,0.6907,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00371,58.7,0.01571,0.03365,*
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-1.3184,72,5.647e-06,0.0001306,***
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-0.97132,69.3,0.0001842,0.001382,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.03809,60,0.04379,0.07299,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,-0.04987,58.7,0.02063,0.03868,*
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00251,62.2,0.1354,0.1766,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-1.25715,70.3,0.001713,0.005138,**
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.97132,75.7,0.0004517,0.001936,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.03628,54.1,0.1109,0.1512,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,0.02067,43.2,0.494,0.511,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00371,58.7,0.01814,0.03628,*
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-1.14093,72,1.798e-05,0.0001798,***
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-0.93199,68,0.0003808,0.001936,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,75,-0.02397,60,0.09121,0.1303,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,75,-0.03668,60,0.06059,0.09088,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.0021,59.5,0.1748,0.2062,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-1.3184,70.3,0.003161,0.00862,**
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-1.09604,75.7,0.0004279,0.001936,**
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,-0.01493,51.4,0.1787,0.2062,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,37,0.02067,43.2,0.44,0.4715,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,75,-0.00492,60,0.01337,0.03086,*
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,75,-1.14093,72,8.706e-06,0.0001306,***
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,75,-0.89503,68,0.0005254,0.00197,**
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,75,-0.03294,61.3,0.04093,0.07224,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,75,-0.03668,60,0.05748,0.09077,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,106,-0.00346,59.4,0.0107,0.03692,*
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,106,-1.26049,72.6,2.11e-07,6.329e-06,***
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,106,-0.95165,69.8,5.334e-06,3.2e-05,***
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,106,-0.03461,59.4,0.0225,0.06091,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,106,-0.01994,55.7,0.0624,0.117,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,6,-0.00676,66.7,0.3375,0.3797,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,6,0.05829,50,0.583,0.6247,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,6,-0.84667,83.3,0.07111,0.1185,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,6,0.1565,33.3,0.7992,0.7992,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,6,0.17925,33.3,0.7992,0.7992,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,104,-0.00346,60.6,0.01107,0.03692,*
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,104,-1.14269,71.2,1.319e-06,1.978e-05,***
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,104,-1.03368,70.2,4.826e-06,3.2e-05,***
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,104,-0.0183,56.7,0.1086,0.1629,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,104,-0.01431,53.8,0.1928,0.2515,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,8,-0.00379,50,0.312,0.3744,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,8,-1.31382,75,0.07074,0.1185,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,8,-0.36676,75,0.09172,0.1448,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,8,-0.33554,75,0.04003,0.08578,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,8,-0.19808,62.5,0.117,0.1671,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,102,-0.00346,60.8,0.01035,0.03692,*
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low+Mid,102,-1.13154,70.6,2.599e-06,2.599e-05,***
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low+Mid,102,-0.95165,69.6,1.087e-05,5.436e-05,***
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low+Mid,102,-0.01665,55.9,0.164,0.2237,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low+Mid,102,-0.01077,52.9,0.2795,0.3494,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,10,-2e-04,50,0.3417,0.3797,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,10,-1.51404,80,0.02639,0.06091,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,10,-1.58144,80,0.02639,0.06091,ns
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,10,-0.33554,80,0.01247,0.0374,*
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,10,-0.29098,70,0.05146,0.1029,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,29,-0.0021,65.5,0.1707,0.2048,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,29,-1.1212,69,0.01798,0.03595,*
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,High,29,-1.14153,75.9,0.002469,0.008231,**
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,High,29,0.00592,48.3,0.2246,0.2495,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,High,29,0.07593,44.8,0.6107,0.6107,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Low+Mid,83,-0.0036,57.8,0.01474,0.03402,*
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,Low+Mid,83,-1.3184,72.3,3.163e-06,5.532e-05,***
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,Low+Mid,83,-0.93199,68.7,0.0001049,0.0006291,***
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,Low+Mid,83,-0.03628,61.4,0.03451,0.0647,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,Low+Mid,83,-0.02598,57.8,0.03775,0.06661,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,Low+Mid,86,-0.00431,60.5,0.008729,0.02381,*
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,Low+Mid,86,-1.14269,72.1,3.688e-06,5.532e-05,***
M1vsM2_12m,natural_breaks,Relative Mortality,NEPmax,Low+Mid,86,-0.91351,68.6,9.778e-05,0.0006291,***
M1vsM2_12m,natural_breaks,Relative Mortality,WUE,Low+Mid,86,-0.0183,57,0.1305,0.1717,ns
M1vsM2_12m,natural_breaks,Relative Mortality,uWUE,Low+Mid,86,-0.01994,55.8,0.2374,0.2543,ns
M1vsM2_12m,natural_breaks,Relative Mortality,ETmax,High,26,-0.00182,57.7,0.2711,0.2804,ns
M1vsM2_12m,natural_breaks,Relative Mortality,GPPsat,High,26,-1.24579,69.2,0.0119,0.02974,*
