response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0389,0.0386,2.45,46.2,0.8776,0.9574, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0388,0.0394,2.48,44.6,0.8365,0.9574, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0345,0.0363,0.33,49.2,0.6597,0.876, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0342,0.0347,0.57,46.2,0.6903,0.8812, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0379,0.0412,5.09,47.7,0.9453,0.9595, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0386,0.0412,2.01,46.2,0.9077,0.9595, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0342,0.0374,1.11,46.2,0.8709,0.9574, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0346,0.0374,0.29,49.2,0.861,0.9574, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0281,0.0282,2.11,35.4,0.9535,0.9595, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0261,0.027,1.06,49.2,0.7433,0.9153, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.027,0.0264,1.77,41.5,0.9266,0.9595, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.026,0.0249,2.03,35.4,0.9595,0.9595, ns
GPPsat,Anomaly / 12m,C vs C+D,65,5.1405,4.8878,-5.19,53.8,0.2402,0.6161, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,5.1264,4.8658,-2.49,52.3,0.2546,0.6161, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.1776,4.6692,-3.61,55.4,0.09341,0.6082, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.1066,4.7078,-5.3,63.1,0.06898,0.6082, ns
GPPsat,Anomaly / 24m,C vs C+D,65,5.1485,4.8022,-2.46,52.3,0.2422,0.6161, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,5.08,4.7768,-5.48,60,0.1419,0.6082, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.2347,4.8243,-6.54,60,0.04224,0.6082, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.2463,4.6668,-3.63,63.1,0.05325,0.6082, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.8603,3.8255,0.79,47.7,0.8491,0.9574, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.5186,3.576,1.51,46.2,0.7475,0.9153, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.5948,3.5911,-0.44,52.3,0.6597,0.876, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.486,3.5352,1.38,47.7,0.5261,0.7698, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.6225,4.6021,-7.18,58.5,0.1347,0.6082, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.5781,4.2974,-9.13,60,0.09125,0.6082, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.6001,4.1844,-4.23,60,0.04051,0.6082, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.6397,4.2291,-6.45,61.5,0.04782,0.6082, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.7069,4.165,-7.59,58.5,0.1133,0.6082, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.9058,4.2908,-5.66,55.4,0.1587,0.6161, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,4.5994,4.1415,-5.52,61.5,0.04847,0.6082, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.4819,4.0597,-4.39,61.5,0.07713,0.6082, ns
NEPmax,Raw-lag / 12m,C+M vs C+M+D,65,3.2452,3.0291,-1.65,52.3,0.3744,0.6573, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,2.8496,3.1186,-1.05,52.3,0.3919,0.6573, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,65,3.1178,2.9949,-0.62,52.3,0.2381,0.6161, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,2.9869,3.1307,-0.98,53.8,0.2422,0.6161, ns
WUE,Anomaly / 12m,C vs C+D,65,0.6476,0.6507,0.1,49.2,0.487,0.7532, ns
WUE,Anomaly / 12m,C+M vs C+M+D,65,0.6385,0.6454,-1.17,52.3,0.3548,0.6573, ns
WUE,Anomaly / 12m,C+T vs C+T+D,65,0.6907,0.663,0.64,49.2,0.3944,0.6573, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.69,0.6779,0.03,49.2,0.3894,0.6573, ns
WUE,Anomaly / 24m,C vs C+D,65,0.6073,0.6353,-0.38,52.3,0.3237,0.6474, ns
WUE,Anomaly / 24m,C+M vs C+M+D,65,0.6095,0.6424,-1.57,58.5,0.1376,0.6082, ns
WUE,Anomaly / 24m,C+T vs C+T+D,65,0.6441,0.6559,-0.87,55.4,0.1784,0.6161, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.6422,0.6512,-0.47,50.8,0.2108,0.6161, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,65,0.5009,0.5036,-1.09,53.8,0.2126,0.6161, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.4684,0.5283,-0.49,55.4,0.2567,0.6161, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,65,0.4998,0.4969,-0.86,58.5,0.1146,0.6082, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.4804,0.4921,-1.62,53.8,0.2782,0.6183, ns
uWUE,Anomaly / 12m,C vs C+D,65,0.5889,0.5853,-0.33,50.8,0.276,0.6183, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,65,0.6174,0.5949,-0.19,50.8,0.4428,0.7181, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,65,0.6181,0.632,-0.13,50.8,0.3051,0.6474, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.5908,0.6171,1.02,46.2,0.5104,0.7656, ns
uWUE,Anomaly / 24m,C vs C+D,65,0.5702,0.5878,-1.03,55.4,0.3143,0.6474, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,65,0.5646,0.6251,-0.91,53.8,0.5494,0.7849, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,65,0.5894,0.6214,-1.33,58.5,0.2484,0.6161, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.5784,0.6084,-0.34,50.8,0.3548,0.6573, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,65,0.4293,0.4304,0.9,46.2,0.6716,0.876, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.4375,0.4312,-0.33,55.4,0.4896,0.7532, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,65,0.4213,0.4225,0.05,49.2,0.5955,0.831, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.4425,0.4396,1.03,47.7,0.8444,0.9574, ns
