unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00131,45.5,0.7523,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.56189,63.6,0.1494,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.68511,63.6,0.1027,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.01875,40.9,0.6273,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,-0.01793,59.1,0.4612,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,21,0.00086,47.6,0.8076,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,21,-0.33151,61.9,0.2435,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,21,0.18975,47.6,0.4861,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,21,-0.00516,57.1,0.4585,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,21,0.00625,47.6,0.4447,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,22,0.0016,45.5,0.7095,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,22,0.30523,36.4,0.7915,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,22,-0.34169,63.6,0.2477,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,22,-0.00059,50,0.4741,0.8451,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,22,0.00238,45.5,0.3247,0.8451,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00244,40.9,0.8973,0.8973,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.54981,63.6,0.1993,0.8451,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.68511,54.5,0.2581,0.8451,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,0.00484,45.5,0.5259,0.8451,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,-0.02409,68.2,0.142,0.8451,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,21,0.00086,47.6,0.7455,0.8451,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,21,0.3194,47.6,0.6989,0.8451,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,21,-0.02507,52.4,0.569,0.8451,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,21,-0.00516,57.1,0.3383,0.8451,ns
