response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0375,0.0389,-0.21,52.7,0.1749,0.2837, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0379,0.0383,-0.04,50.5,0.186,0.2875, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0362,0.0365,1.7,46.2,0.7512,0.7771, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0361,0.0369,0.89,47.3,0.6591,0.719, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0407,0.0406,-1.97,53.8,0.1954,0.2875, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0404,0.0413,-2.45,51.6,0.1964,0.2875, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0379,0.0373,0.84,45.2,0.6894,0.7387, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.038,0.0371,0.61,49.5,0.6204,0.6926, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.025,0.0262,0.12,49.5,0.5183,0.6098, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0266,0.0267,1.49,47.3,0.3651,0.4926, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.027,0.0263,-0.47,52.7,0.3395,0.4836, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0272,0.0266,0.37,49.5,0.6043,0.6926, ns
GPPsat,Anomaly / 12m,C vs C+D,93,5.8781,5.2485,-9.12,60.2,0.001668,0.006254,**
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,5.9358,5.0975,-9.17,62.4,0.001033,0.004132,**
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.8597,5.4993,-7.57,67.7,0.0001056,0.0009054,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.8549,5.2801,-7.66,63.4,0.0002243,0.001223,**
GPPsat,Anomaly / 24m,C vs C+D,93,5.8834,5.3358,-8.14,64.5,0.0008843,0.00379,**
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,5.9931,5.4267,-8.89,64.5,0.0006106,0.002818,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,5.666,5.5756,-7.5,65.6,0.0001363,0.001022,**
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.7058,5.5714,-7.22,64.5,0.0003893,0.001946,**
GPPsat,Raw-lag / 12m,C+M vs C+M+D,93,3.5719,3.5821,0.47,49.5,0.4046,0.526, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.6374,3.503,-0.48,51.6,0.1912,0.2875, ns
