response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,112,0.037,0.0382,-5.65,55.4,0.05468,0.1215, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,112,0.0356,0.037,-7.15,58.9,0.02041,0.06124, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,112,0.0325,0.0332,-1.21,52.7,0.1687,0.2468, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,0.0336,0.0323,-3,56.2,0.0471,0.1087, ns
ETmax,Anomaly / 24m,C vs C+D,112,0.0376,0.0379,-5.72,56.2,0.04681,0.1087, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,112,0.0384,0.0384,-8.53,58.9,0.01343,0.0424,*
ETmax,Anomaly / 24m,C+T vs C+T+D,112,0.0335,0.033,-2.76,58.9,0.08462,0.141, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,0.0348,0.0329,-3.61,61.6,0.007704,0.02568,*
ETmax,Raw-lag / 12m,C+M vs C+M+D,112,0.0277,0.0252,-5.11,61.6,0.004035,0.01424,*
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,0.0267,0.0259,-0.06,50,0.3513,0.4368, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,112,0.0259,0.0257,-1.13,52.7,0.09695,0.1572, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,112,0.0249,0.0263,-0.98,52.7,0.3374,0.4308, ns
GPPsat,Anomaly / 12m,C vs C+D,112,5.6598,5.1064,-16.58,65.2,4.803e-05,0.0002217,***
GPPsat,Anomaly / 12m,C+M vs C+M+D,112,5.5418,5.0704,-16.5,67,1.621e-05,0.0001621,***
GPPsat,Anomaly / 12m,C+T vs C+T+D,112,5.2761,4.5459,-15.67,67.9,3.766e-06,0.000113,***
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,112,5.1263,4.6291,-14.31,67,2.882e-05,0.0001994,***
GPPsat,Anomaly / 24m,C vs C+D,112,5.5309,4.9592,-12.18,63.4,4.689e-05,0.0002217,***
GPPsat,Anomaly / 24m,C+M vs C+M+D,112,5.5739,4.8217,-15.68,73.2,1.574e-06,9.442e-05,***
GPPsat,Anomaly / 24m,C+T vs C+T+D,112,5.2224,4.5756,-12.9,67.9,4.689e-05,0.0002217,***
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,112,5.3512,4.6385,-10.88,63.4,8.56e-05,0.000321,***
GPPsat,Raw-lag / 12m,C+M vs C+M+D,112,3.5211,3.5618,0.35,48.2,0.5788,0.6035, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.5556,3.4978,-2.77,56.2,0.1814,0.2591, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,112,3.28,3.4354,1.57,46.4,0.5834,0.6035, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,112,3.2683,3.3826,-0.74,51.8,0.5743,0.6035, ns
NEPmax,Anomaly / 12m,C vs C+D,112,4.7095,4.295,-15.75,63.4,2.99e-05,0.0001994,***
NEPmax,Anomaly / 12m,C+M vs C+M+D,112,5.1183,4.4461,-17.61,67,1.934e-05,0.0001658,***
NEPmax,Anomaly / 12m,C+T vs C+T+D,112,4.3571,4.0798,-16.88,65.2,1.58e-05,0.0001621,***
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,112,4.4869,4.0596,-13.07,67,1.132e-05,0.0001621,***
NEPmax,Anomaly / 24m,C vs C+D,112,4.6818,4.6148,-14.89,65.2,6.24e-05,0.0002556,***
NEPmax,Anomaly / 24m,C+M vs C+M+D,112,4.673,4.5761,-17.65,63.4,4.633e-05,0.0002217,***
NEPmax,Anomaly / 24m,C+T vs C+T+D,112,4.5586,4.0716,-12.84,64.3,6.39e-05,0.0002556,***
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,112,4.8208,4.4175,-13.07,69.6,7.654e-06,0.0001531,***
NEPmax,Raw-lag / 12m,C+M vs C+M+D,112,2.7659,2.6043,-0.61,50.9,0.1133,0.1789, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,112,3.1034,2.9669,-2.06,58.9,0.03605,0.0907, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,112,2.6719,2.5407,-0.85,55.4,0.03628,0.0907, ns
