unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,37,0.00119,48.6,0.5421,0.5886,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,37,-0.92975,64.9,0.04138,0.08275,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,37,-0.94224,62.2,0.003462,0.01154,*
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,37,-0.05808,64.9,0.1137,0.1796,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,37,0.02414,43.2,0.353,0.4236,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low+Mid,75,-0.00468,58.7,0.02648,0.07221,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low+Mid,75,-1.2073,65.3,0.0002077,0.00308,**
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low+Mid,75,-0.84772,64,0.001295,0.007772,**
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low+Mid,75,-0.07461,62.7,0.08205,0.1367,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low+Mid,75,0.02916,45.3,0.5494,0.5886,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,37,-0.00207,54.1,0.304,0.38,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,37,-0.5876,56.8,0.03752,0.08041,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,37,-0.94224,70.3,0.001979,0.009559,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,37,-0.03602,62.2,0.2299,0.3284,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,37,0.03058,43.2,0.2632,0.3562,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low+Mid,75,-0.00216,56,0.05688,0.1004,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low+Mid,75,-1.21342,69.3,0.0002205,0.00308,**
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low+Mid,75,-0.54477,60,0.00223,0.009559,**
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low+Mid,75,-0.07188,64,0.04429,0.08304,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low+Mid,75,0.0266,45.3,0.6313,0.6531,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,37,-0.00082,51.4,0.4105,0.4736,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,37,-0.92975,59.5,0.02161,0.06483,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,37,-1.13087,70.3,0.001213,0.007772,**
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,37,-0.0576,59.5,0.2731,0.3562,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,37,0.0204,48.6,0.1787,0.2681,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low+Mid,75,-0.00281,57.3,0.03286,0.07584,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low+Mid,75,-1.00656,68,0.000308,0.00308,**
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low+Mid,75,-0.54477,60,0.003141,0.01154,*
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low+Mid,75,-0.07188,65.3,0.03097,0.07584,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low+Mid,75,0.02916,42.7,0.7131,0.7131,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low+Mid,106,-0.00238,56.6,0.0293,0.1099,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low+Mid,106,-1.21036,67,4.468e-05,0.0007343,***
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low+Mid,106,-0.85277,63.2,5.867e-05,0.0007343,***
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low+Mid,106,-0.06781,64.2,0.02706,0.1099,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low+Mid,106,0.02899,44.3,0.5502,0.7176,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,6,0.00484,33.3,0.8958,0.8958,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,6,0.40926,33.3,0.6625,0.7361,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,6,-1.08868,66.7,0.1473,0.2209,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,6,0.04827,50,0.6625,0.7361,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,6,-0.07983,50,0.2008,0.2739,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low+Mid,104,-0.00238,56.7,0.03845,0.1103,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low+Mid,104,-0.99011,64.4,9.79e-05,0.0007343,***
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low+Mid,104,-0.85277,63.5,7.361e-05,0.0007343,***
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low+Mid,104,-0.06157,63.5,0.04892,0.1103,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low+Mid,104,0.02987,42.3,0.6204,0.7361,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,8,0.00508,37.5,0.6369,0.7361,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,8,-0.91778,75,0.117,0.195,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,8,-0.77137,62.5,0.1468,0.2209,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,8,-0.15525,62.5,0.1814,0.2591,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,8,-0.20496,75,0.117,0.195,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low+Mid,102,-0.0027,57.8,0.03572,0.1103,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low+Mid,102,-0.9639,63.7,0.0001818,0.000909,***
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low+Mid,102,-0.84832,62.7,0.0001684,0.000909,***
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low+Mid,102,-0.05875,62.7,0.06959,0.1392,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low+Mid,102,0.03103,41.2,0.7022,0.7524,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,10,0.00324,30,0.7296,0.7547,ns
