response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0338,0.0407,-1.65,52.7,0.4406,0.5806, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0358,0.0419,-1.72,55.9,0.4346,0.5806, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0354,0.0337,0.47,47.3,0.762,0.8625, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0352,0.0347,0.34,48.4,0.7237,0.8514, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0405,0.041,0.4,49.5,0.57,0.6979, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0394,0.0406,1.79,47.3,0.7906,0.8625, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0354,0.0358,0,50.5,0.8487,0.9093, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.034,0.0352,-0.22,51.6,0.6633,0.796, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0274,0.0254,1.69,44.1,0.9075,0.9419, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0254,0.0271,0.87,46.2,0.7679,0.8625, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.026,0.0267,0.23,49.5,0.9471,0.9471, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0272,0.0265,0.72,47.3,0.9262,0.9419, ns
GPPsat,Anomaly / 12m,C vs C+D,93,6.0206,5.2775,-10.01,61.3,0.004386,0.01645,*
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,6.2767,5.3174,-9.26,63.4,0.0003201,0.002744,**
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.8653,5.6224,-6.33,61.3,0.0004002,0.002911,**
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,6.3493,5.7241,-3.38,57,0.002901,0.01339,*
GPPsat,Anomaly / 24m,C vs C+D,93,5.9989,5.2412,-3.93,62.4,0.004288,0.01645,*
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,6.094,5.5538,-6.3,61.3,0.001932,0.009661,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,6.04,5.4287,-5.16,58.1,0.00673,0.02375,*
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.932,5.3359,-5.95,58.1,0.003616,0.0155,*
GPPsat,Raw-lag / 12m,C+M vs C+M+D,93,3.6154,3.7619,0.71,48.4,0.7794,0.8625, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.6906,3.673,-1.06,52.7,0.4862,0.6207, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,93,3.4435,3.4953,2.88,36.6,0.9241,0.9419, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.5845,3.5628,-1.25,57,0.3494,0.4875, ns
NEPmax,Anomaly / 12m,C vs C+D,93,5.1938,4.7697,-12.56,66.7,0.0001628,0.001954,**
NEPmax,Anomaly / 12m,C+M vs C+M+D,93,5.0334,4.5407,-13.75,68.8,0.0001425,0.001954,**
NEPmax,Anomaly / 12m,C+T vs C+T+D,93,4.9584,4.7208,-10.3,66.7,0.0002179,0.002179,**
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,4.8639,4.7568,-9.22,64.5,7.666e-05,0.001954,**
NEPmax,Anomaly / 24m,C vs C+D,93,5.0079,4.6039,-15.11,64.5,0.0004657,0.002911,**
NEPmax,Anomaly / 24m,C+M vs C+M+D,93,5.1974,4.4201,-11.71,61.3,0.0004851,0.002911,**
NEPmax,Anomaly / 24m,C+T vs C+T+D,93,5.1354,4.8544,-9.26,63.4,0.0001105,0.001954,**
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.1122,5.0719,-7.46,64.5,8.279e-05,0.001954,**
NEPmax,Raw-lag / 12m,C+M vs C+M+D,93,2.7459,2.6994,-3.49,59.1,0.1236,0.2004, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.2496,2.814,-3.55,58.1,0.04131,0.07745, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,93,2.9331,2.8021,-4.03,59.1,0.1662,0.2557, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.2033,2.7596,-5.75,64.5,0.000981,0.005351,**
WUE,Anomaly / 12m,C vs C+D,93,0.7329,0.696,-3.64,55.9,0.0142,0.04058,*
WUE,Anomaly / 12m,C+M vs C+M+D,93,0.7512,0.6926,-6.19,57,0.01505,0.04105,*
WUE,Anomaly / 12m,C+T vs C+T+D,93,0.7792,0.6923,-3.64,59.1,0.02819,0.0604, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.7942,0.7137,-3,59.1,0.02037,0.04702,*
WUE,Anomaly / 24m,C vs C+D,93,0.7819,0.6843,-6.55,57,0.007329,0.02443,*
WUE,Anomaly / 24m,C+M vs C+M+D,93,0.7505,0.685,-4.7,58.1,0.0158,0.04121,*
WUE,Anomaly / 24m,C+T vs C+T+D,93,0.7931,0.7195,-1.74,54.8,0.03931,0.07609, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.8194,0.7243,-3.96,58.1,0.01366,0.04058,*
WUE,Raw-lag / 12m,C+M vs C+M+D,93,0.491,0.4791,-2.3,59.1,0.1065,0.1775, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.5082,0.5006,-3.12,61.3,0.1324,0.2091, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,93,0.5035,0.5261,-1.32,52.7,0.2172,0.3179, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.5152,0.5446,-0.18,50.5,0.4451,0.5806, ns
uWUE,Anomaly / 12m,C vs C+D,93,0.6922,0.6696,-2.57,58.1,0.05634,0.1024, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,93,0.7066,0.675,-2.65,54.8,0.03678,0.0748, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,93,0.7241,0.6685,-3.99,57,0.01909,0.04582,*
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.7065,0.6671,-2.83,54.8,0.07484,0.1283, ns
uWUE,Anomaly / 24m,C vs C+D,93,0.7099,0.6789,-3.67,54.8,0.0374,0.0748, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,93,0.7263,0.6792,-4,57,0.01839,0.04582,*
uWUE,Anomaly / 24m,C+T vs C+T+D,93,0.7167,0.6758,-5.31,61.3,0.01166,0.03681,*
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.7034,0.6732,-7.24,58.1,0.0277,0.0604, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,93,0.4517,0.4587,1.11,47.3,0.5412,0.6765, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.4794,0.4873,-2.4,58.1,0.06411,0.1131, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,93,0.4672,0.4579,-1.83,51.6,0.1749,0.2624, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.4783,0.4909,-0.53,53.8,0.2476,0.3537, ns
