SITE_ID,rel_mort,IGBP,LAT,LONG
CA-DBB,61.7576713202466,WET,49.1293,-122.9849
US-GLE,58.5492889302631,ENF,41.3665,-106.2399
FR-Bil,50.8464020505599,ENF,44.493652,-0.956092
US-NC2,47.6265227222992,ENF,35.803,-76.6685
NL-Loo,46.1121938859696,ENF,52.166447,5.74355
BE-Maa,46.0543919146706,CSH,50.97987,5.631851
JP-Yms,44.1090744707925,DBF,34.79028,135.84094
IT-Cp2,43.1792406530675,MF,41.704266,12.357293
US-xRM,42.5178160327114,ENF,40.2759,-105.5459
US-Vcp,39.2519855300299,ENF,35.8642,-106.5967
DE-Akm,38.4201069057971,WET,53.86617,13.68342
US-xSC,38.415139083063,DBF,38.8929,-78.1395
US-SHC,35.9646862324028,ENF,39.4315,-120.2398
US-xBL,35.1963322633953,DBF,39.0603,-78.0716
US-Me6,34.9690714204826,ENF,44.3233,-121.6078
AU-APL,34.5871889069967,WET,-36.862222,147.320833
AU-How,33.8306212373007,WSA,-12.4952,131.15005
FR-FBn,33.1415253434911,ENF,43.24079,5.67865
IT-Lav,32.9800096639271,ENF,45.9562,11.28132
SE-Nor,32.8726143025543,ENF,60.0865,17.479504
AT-Mmg,31.0899021982326,ENF,47.316563,10.970089
US-xUK,31.0667330762158,DBF,39.0404,-95.1921
CA-DB2,31.0237939702963,WET,49.119,-122.9951
KR-Kw1,30.834287592581,ENF,37.74843,127.16261
US-MtB,30.7773116416918,ENF,32.416,-110.7256
DE-Tha,30.2265763916054,ENF,50.962597,13.565333
US-NC3,29.9562150787864,ENF,35.799,-76.656
CA-TP3,29.5011771261165,ENF,42.7068,-80.3483
US-xDJ,29.0327630573345,ENF,63.8811,-145.7514
DE-Har,28.8010632891599,ENF,47.93391,7.59814
US-xJE,28.7585439918541,ENF,31.1948,-84.4686
IT-Ren,28.5092217567403,ENF,46.58686,11.43369
CL-SDP,27.8216699603102,WET,-41.879,-73.666
DE-RuC,27.492152528836,OSH,50.5031,6.336
CZ-RAJ,27.2445026800789,ENF,49.44372,16.696512
US-xGR,26.911820787824,DBF,35.689,-83.5019
IT-BFt,26.7022753852759,DBF,45.197754,10.741966
DE-Obe,26.364345849785,ENF,50.7864,13.72168
US-xML,26.1885191165277,DBF,37.3783,-80.5248
IT-SR2,25.2120998800936,ENF,43.73202,10.29091
DE-Msr,24.7180879986229,ENF,47.80918,11.456168
IT-Arz,23.2940947355769,OSH,45.61902,10.00228
US-MOz,23.240756128637,DBF,38.7441,-92.2
FR-Pue,22.7709753645127,EBF,43.7413,3.5957
US-xSB,22.76204718013,ENF,29.6893,-81.9934
FI-Hyy,22.240374214454,ENF,61.84741,24.29477
US-HB2,22.062849071617,ENF,33.3242,-79.244
CA-Mer,21.7437987903978,WET,45.4094,-75.5186
CZ-BK1,21.5899825079594,ENF,49.502075,18.536882
FI-Rk2,21.5310502602606,ENF,61.182884,25.262684
US-Rpf,21.1792622261149,DBF,65.1198,-147.429
ES-Crg,20.7686013290029,CSH,39.11926,-0.95852
EE-Stg,20.451342669368,ENF,58.023636,26.070753
US-KPL,20.3249997392492,WET,60.5382,-150.5061
BE-Bra,19.7937533796813,ENF,51.30761,4.51984
AT-Zoe,18.782893788781,MF,47.842247,14.444137
SE-Htm,18.6694808105269,ENF,56.09763,13.41897
BE-Vie,18.5642034430309,MF,50.304962,5.998099
US-CS2,18.3772062091296,ENF,44.1467,-89.5002
KR-Kw2,18.1724614395307,DBF,37.74869,127.14888
JP-Api,18.1483148224818,DBF,40.001358,140.93658
ES-Yst,17.6382952652593,ENF,38.3351,-2.3571
US-HB3,17.4178190557356,ENF,33.3482,-79.2322
CA-TP1,16.9699116341274,ENF,42.6609,-80.5595
IT-BsB,16.8855955889258,DBF,45.11823,7.161995
US-xWR,16.005268121045,ENF,45.8205,-121.9519
US-xAB,15.590036084068,ENF,45.7624,-122.3303
CZ-Lnz,15.5853396386251,DBF,48.68155,16.946331
FI-Let,15.3416421853631,ENF,60.64183,23.95952
RU-Fyo,15.3136275740489,ENF,56.46153,32.922085
US-xDL,15.2757493765641,MF,32.5417,-87.8039
SE-Ros,15.0089023146018,ENF,64.16522,19.79074
CH-Lae,14.7054115334158,MF,47.478333,8.364389
SE-Svb,14.6370286791696,ENF,64.25611,19.7745
SE-HfM,14.6126320931011,WET,64.15955,19.551497
SE-Hmr,14.6126320931011,WET,64.15955,19.551497
US-MBP,14.1760821006689,WET,47.5051,-93.4893
US-HBK,13.599425641972,DBF,43.9397,-71.7181
DE-HoH,13.4239035277274,DBF,52.08656,11.22235
US-xRN,13.2633384233609,DBF,35.9641,-84.2826
RU-Fy2,12.7437428676611,ENF,56.4476,32.90188
DK-Sor,12.3503928895763,DBF,55.48587,11.644645
CZ-Stn,11.5536071998102,DBF,49.035976,17.9699
DE-Hai,11.4527494051099,DBF,51.079212,10.452168
CA-TPD,10.5206541677812,DBF,42.6353,-80.5577
US-xUN,9.83011718541529,MF,46.2339,-89.5373
US-xSE,9.63192239881293,DBF,38.8901,-76.56
US-xBN,8.37557441580326,ENF,65.154,-147.5026
FR-Fon,8.25734765342421,DBF,48.476357,2.780096
US-Bar,7.84955790555792,DBF,44.0646,-71.2881
US-xST,7.49368868623646,DBF,45.5089,-89.5864
US-xBR,7.42616909619616,DBF,44.0639,-71.2873
US-xTR,6.61081115377992,DBF,45.4937,-89.5857
