response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0388,0.0399,2.34,36.9,0.8928,0.9941, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0381,0.0393,1.79,46.2,0.7777,0.9941, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.037,0.0376,1.23,43.1,0.9301,0.9941, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.0369,0.0376,0.31,49.2,0.704,0.9941, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0388,0.0404,1.32,46.2,0.6428,0.9889, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0394,0.0404,2.57,46.2,0.6056,0.9562, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0367,0.0383,-0.5,53.8,0.7152,0.9941, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0362,0.0373,-0.9,56.9,0.2804,0.8012, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0323,0.0335,4.34,38.5,0.9941,0.9941, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0327,0.0334,0.72,46.2,0.915,0.9941, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0354,0.0368,2.46,47.7,0.9055,0.9941, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0349,0.0354,0.91,38.5,0.8283,0.9941, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.8214,4.5059,-2.47,56.9,0.2301,0.6904, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.8876,4.5887,-0.2,50.8,0.3621,0.869, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.1405,4.1717,-2.16,56.9,0.07434,0.4977, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.4294,4.1343,-2.11,53.8,0.1197,0.5526, ns
