response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0339,0.038,-1.18,53.8,0.3972,0.4918, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0356,0.0388,-1.42,52.7,0.4017,0.4918, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0347,0.0348,1.29,41.9,0.9392,0.9716, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0336,0.035,-0.18,52.7,0.7982,0.8708, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0355,0.0381,-0.65,53.8,0.4756,0.5595, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0343,0.0369,-0.55,50.5,0.348,0.4442, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0345,0.0349,-0.09,50.5,0.6975,0.7896, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.0335,0.0358,0.63,48.4,0.8357,0.8954, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0311,0.0332,0.55,46.2,0.9063,0.954, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0306,0.0327,1.76,43,0.9867,0.9883, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0326,0.0335,2.14,45.2,0.7524,0.836, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0316,0.0329,1.63,39.8,0.9883,0.9883, ns
GPPsat,Anomaly / 12m,C vs C+D,93,5.9991,5.1565,-4.91,57,0.02153,0.07177, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,6.0361,5.3883,-5.9,55.9,0.01856,0.07177, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.8543,5.0834,-5.29,64.5,0.0002179,0.00411,**
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.7714,5.2746,-5.56,66.7,0.0008069,0.008069,**
GPPsat,Anomaly / 24m,C vs C+D,93,6.2993,5.9757,-3.95,59.1,0.01805,0.07177, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,6.2027,5.8153,-4.49,54.8,0.03049,0.07622, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,5.6488,5.5013,-4.46,62.4,0.002459,0.02107,*
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.7412,5.4978,-2.09,62.4,0.006802,0.04535,*
GPPsat,Raw-lag / 12m,C+M vs C+M+D,93,4.7737,4.7338,1.26,49.5,0.4225,0.507, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,93,4.6993,4.5983,-1.47,53.8,0.08272,0.1544, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,93,5.309,5.1276,-3.62,54.8,0.1986,0.2708, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,93,5.023,5.1105,-2.53,55.9,0.1072,0.165, ns
NEPmax,Anomaly / 12m,C vs C+D,93,5.4967,5.119,-8.31,58.1,0.009813,0.05352, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,93,5.3956,4.925,-7.41,59.1,0.006516,0.04535,*
NEPmax,Anomaly / 12m,C+T vs C+T+D,93,5.0114,4.8088,-7.97,63.4,0.000274,0.00411,**
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.3252,4.7294,-10.68,63.4,0.000194,0.00411,**
