response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,65,0.0387,0.0383,0.9,46.2,0.5752,0.8572, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,65,0.0364,0.0379,-1.13,53.8,0.5078,0.8362, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,65,0.0352,0.036,-0.25,50.8,0.3167,0.6786, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.033,0.0364,1.64,47.7,0.8216,0.8572, ns
ETmax,Anomaly / 24m,C vs C+D,65,0.0407,0.0424,2.21,46.2,0.7986,0.8572, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,65,0.0408,0.0435,2.66,47.7,0.7619,0.8572, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,65,0.0345,0.0339,-0.32,50.8,0.7412,0.8572, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.0343,0.0367,-0.03,50.8,0.8999,0.8999, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,65,0.0264,0.0267,-1.17,52.3,0.3028,0.6786, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.0261,0.0265,-1.4,58.5,0.1587,0.5343, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,65,0.0268,0.0274,0.23,47.7,0.7777,0.8572, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.0269,0.0268,0.95,44.6,0.8429,0.8572, ns
GPPsat,Anomaly / 12m,C vs C+D,65,4.7576,4.58,-2.2,52.3,0.3355,0.6941, ns
GPPsat,Anomaly / 12m,C+M vs C+M+D,65,4.7245,4.5591,-8.31,60,0.1836,0.556, ns
GPPsat,Anomaly / 12m,C+T vs C+T+D,65,5.0617,4.6356,-3.85,64.6,0.01035,0.2218, ns
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,65,5.0052,4.7809,-1.68,56.9,0.1361,0.5213, ns
GPPsat,Anomaly / 24m,C vs C+D,65,5.4942,5.0301,-0.84,50.8,0.4792,0.8348, ns
GPPsat,Anomaly / 24m,C+M vs C+M+D,65,5.2527,4.7438,-1.68,52.3,0.2525,0.6111, ns
GPPsat,Anomaly / 24m,C+T vs C+T+D,65,5.1656,5.1309,-0.24,52.3,0.2223,0.6055, ns
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,65,5.0692,4.9397,-1.8,56.9,0.139,0.5213, ns
GPPsat,Raw-lag / 12m,C+M vs C+M+D,65,3.738,3.8414,0.49,49.2,0.6106,0.8572, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.6032,3.7042,-0.13,50.8,0.407,0.8025, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,65,3.3831,3.4371,1.57,41.5,0.8283,0.8572, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.2756,3.5369,0.81,44.6,0.8058,0.8572, ns
NEPmax,Anomaly / 12m,C vs C+D,65,4.7108,4.9805,-8.9,56.9,0.139,0.5213, ns
NEPmax,Anomaly / 12m,C+M vs C+M+D,65,4.6165,5.1303,-7.13,60,0.09785,0.5213, ns
NEPmax,Anomaly / 12m,C+T vs C+T+D,65,4.5918,4.9697,-5.7,64.6,0.03413,0.4096, ns
NEPmax,Anomaly / 12m,C+T+M vs C+T+D+M,65,4.9442,4.8976,-7.27,61.5,0.02139,0.3209, ns
NEPmax,Anomaly / 24m,C vs C+D,65,4.4566,3.9216,-7.04,58.5,0.07619,0.5213, ns
NEPmax,Anomaly / 24m,C+M vs C+M+D,65,4.5657,3.9633,-7.41,63.1,0.09232,0.5213, ns
NEPmax,Anomaly / 24m,C+T vs C+T+D,65,4.7295,4.6483,-8.28,66.2,0.01109,0.2218, ns
NEPmax,Anomaly / 24m,C+T+M vs C+T+D+M,65,4.7652,4.6995,-8.39,63.1,0.007394,0.2218, ns
NEPmax,Raw-lag / 12m,C+M vs C+M+D,65,3.1203,3.2366,-4.89,61.5,0.1603,0.5343, ns
NEPmax,Raw-lag / 12m,C+T+M vs C+T+D+M,65,3.096,3.0357,-3.41,56.9,0.1853,0.556, ns
NEPmax,Raw-lag / 24m,C+M vs C+M+D,65,3.2864,3.0454,-2.29,60,0.1184,0.5213, ns
NEPmax,Raw-lag / 24m,C+T+M vs C+T+D+M,65,3.4093,2.8977,-3.6,56.9,0.05614,0.5213, ns
WUE,Anomaly / 12m,C vs C+D,65,0.678,0.6978,0.48,46.2,0.5879,0.8572, ns
WUE,Anomaly / 12m,C+M vs C+M+D,65,0.6929,0.7042,-1.11,52.3,0.4765,0.8348, ns
WUE,Anomaly / 12m,C+T vs C+T+D,65,0.7107,0.7128,0.31,47.7,0.7062,0.8572, ns
WUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.7024,0.7597,0.26,47.7,0.7719,0.8572, ns
WUE,Anomaly / 24m,C vs C+D,65,0.6051,0.6312,-1.29,50.8,0.4146,0.8025, ns
WUE,Anomaly / 24m,C+M vs C+M+D,65,0.5882,0.6302,-0.63,53.8,0.593,0.8572, ns
WUE,Anomaly / 24m,C+T vs C+T+D,65,0.6282,0.6609,-0.24,50.8,0.7017,0.8572, ns
WUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.6684,0.6466,-1.8,58.5,0.3167,0.6786, ns
WUE,Raw-lag / 12m,C+M vs C+M+D,65,0.5153,0.5298,-3.16,56.9,0.1361,0.5213, ns
WUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.5136,0.5368,1.43,46.2,0.6857,0.8572, ns
WUE,Raw-lag / 24m,C+M vs C+M+D,65,0.4584,0.5012,1.27,47.7,0.2546,0.6111, ns
WUE,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.4819,0.4777,-1.47,60,0.09232,0.5213, ns
uWUE,Anomaly / 12m,C vs C+D,65,0.5653,0.6254,0.42,49.2,0.5955,0.8572, ns
uWUE,Anomaly / 12m,C+M vs C+M+D,65,0.5674,0.6095,-2.62,53.8,0.6549,0.8572, ns
uWUE,Anomaly / 12m,C+T vs C+T+D,65,0.6116,0.6402,-0.65,52.3,0.4584,0.8348, ns
uWUE,Anomaly / 12m,C+T+M vs C+T+D+M,65,0.6343,0.6406,1.76,43.1,0.7777,0.8572, ns
uWUE,Anomaly / 24m,C vs C+D,65,0.583,0.6017,-1.7,60,0.09018,0.5213, ns
uWUE,Anomaly / 24m,C+M vs C+M+D,65,0.5751,0.6315,-0.9,53.8,0.1978,0.5651, ns
uWUE,Anomaly / 24m,C+T vs C+T+D,65,0.5475,0.5608,-0.19,52.3,0.5156,0.8362, ns
uWUE,Anomaly / 24m,C+T+M vs C+T+D+M,65,0.5532,0.5742,0.88,41.5,0.7369,0.8572, ns
uWUE,Raw-lag / 12m,C+M vs C+M+D,65,0.4403,0.4441,0.85,44.6,0.8429,0.8572, ns
uWUE,Raw-lag / 12m,C+T+M vs C+T+D+M,65,0.4379,0.4572,0.75,41.5,0.7558,0.8572, ns
uWUE,Raw-lag / 24m,C+M vs C+M+D,65,0.4339,0.4516,1.36,49.2,0.487,0.8348, ns
uWUE,Raw-lag / 24m,C+T+M vs C+T+D+M,65,0.4543,0.4656,-2.73,60,0.2321,0.6055, ns
