unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,22,0.00029,45.5,0.3605,0.8129,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,22,-0.19051,54.5,0.2581,0.8129,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,22,-0.70446,59.1,0.1212,0.8129,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,22,0.03167,36.4,0.835,0.8738,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,22,0.00545,45.5,0.5517,0.8129,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,21,-0.00066,52.4,0.3511,0.8129,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,21,-0.09266,52.4,0.569,0.8129,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,21,-0.1435,52.4,0.5277,0.8129,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,21,-0.02117,57.1,0.3257,0.8129,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,21,0.01305,38.1,0.7455,0.8379,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,22,0.00109,40.9,0.858,0.8743,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,22,-0.03989,50,0.4612,0.8129,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,22,-0.60438,59.1,0.2795,0.8129,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,22,0.00137,45.5,0.4741,0.8129,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,22,-0.01316,63.6,0.2477,0.8129,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,22,0.00076,40.9,0.5388,0.8129,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,22,-0.34937,54.5,0.2179,0.8129,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,22,-0.70446,54.5,0.2085,0.8129,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,22,0.01584,40.9,0.7821,0.8379,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,22,0.00545,45.5,0.6635,0.8203,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,21,-0.00066,52.4,0.4447,0.8129,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,21,0.26221,42.9,0.8743,0.8743,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,21,-0.00236,52.4,0.5961,0.8129,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,21,-0.00163,52.4,0.212,0.8129,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,21,0.01738,38.1,0.7109,0.8203,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,22,0.00053,45.5,0.6635,0.8203,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,22,-0.27715,59.1,0.1571,0.8129,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,22,-0.74609,63.6,0.1212,0.8129,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,22,0.01412,45.5,0.7095,0.8203,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,22,-0.01316,63.6,0.2581,0.8129,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,22,0.00041,45.5,0.4101,0.8129,ns
