response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0349,0.041,-4.05,54.8,0.2879,0.3756, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0372,0.0402,-3.47,55.9,0.3106,0.3869, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.033,0.0357,0.71,47.3,0.813,0.841, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0323,0.0343,2.93,41.9,0.9378,0.9378, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0357,0.0378,-0.18,51.6,0.2275,0.3174, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0344,0.0382,-1.76,54.8,0.2712,0.3616, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0344,0.0345,1.13,43,0.9284,0.9378, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.0347,0.0351,-0.88,53.8,0.5669,0.6435, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.0256,0.025,-0.75,53.8,0.1268,0.1938, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0255,0.0268,0.1,48.4,0.6962,0.7609, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0273,0.0263,-2,57,0.2072,0.296, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.027,0.0273,-0.1,51.6,0.6975,0.7609, ns
GPPsat,Anomaly / 12m,C vs C+D,93,6.1061,5.3102,-11.4,67.7,0.0002702,0.001474,**
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,5.7298,5.674,-12.27,66.7,0.0009076,0.00363,**
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.5432,4.949,-10.81,62.4,0.0003386,0.001693,**
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.5149,5.1537,-9.4,61.3,0.0008393,0.003597,**
