unit,method,metric,response,category,n,median_dRMSE,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,High,31,-8e-05,51.6,0.6415,0.7041,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,High,31,-0.04437,51.6,0.2816,0.396,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,High,31,-0.16356,51.6,0.1811,0.326,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,High,31,-0.02165,54.8,0.1428,0.326,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,High,31,0.0062,48.4,0.1811,0.326,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Mid,31,0.00116,32.3,0.9134,0.9559,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Mid,31,-0.71787,77.4,0.006588,0.258,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Mid,31,-1.0273,67.7,0.01374,0.258,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Mid,31,-0.01273,58.1,0.3156,0.4177,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Mid,31,-0.01714,54.8,0.5117,0.5757,ns
M1vsM2_12m,tertiles,Absolute Mortality,ETmax,Low,31,-0.00108,61.3,0.2495,0.3836,ns
M1vsM2_12m,tertiles,Absolute Mortality,GPPsat,Low,31,-0.50754,58.1,0.1179,0.326,ns
M1vsM2_12m,tertiles,Absolute Mortality,NEPmax,Low,31,-0.71907,61.3,0.04692,0.258,ns
M1vsM2_12m,tertiles,Absolute Mortality,WUE,Low,31,-0.02307,51.6,0.1612,0.326,ns
M1vsM2_12m,tertiles,Absolute Mortality,uWUE,Low,31,-0.01859,54.8,0.2816,0.396,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,High,31,0.00071,38.7,0.9619,0.9767,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,High,31,-0.60746,67.7,0.03972,0.258,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,High,31,-0.52892,54.8,0.05512,0.258,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,High,31,-0.02165,58.1,0.197,0.3409,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,High,31,0.01103,48.4,0.295,0.4022,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Mid,31,0.00027,48.4,0.2558,0.3836,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Mid,31,-0.07512,58.1,0.2312,0.3716,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Mid,31,-0.34252,64.5,0.07488,0.2789,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Mid,31,-0.00595,51.6,0.2253,0.3716,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Mid,31,0.0062,48.4,0.5039,0.5757,ns
M1vsM2_12m,tertiles,Relative Mortality,ETmax,Low,31,-0.001,58.1,0.3957,0.4812,ns
M1vsM2_12m,tertiles,Relative Mortality,GPPsat,Low,31,-0.70137,61.3,0.04503,0.258,ns
M1vsM2_12m,tertiles,Relative Mortality,NEPmax,Low,31,-0.97384,61.3,0.03346,0.258,ns
M1vsM2_12m,tertiles,Relative Mortality,WUE,Low,31,-0.03253,54.8,0.1612,0.326,ns
M1vsM2_12m,tertiles,Relative Mortality,uWUE,Low,31,-0.04502,61.3,0.1428,0.326,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,High,31,0.00085,35.5,0.9767,0.9767,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,High,31,-0.55252,64.5,0.08058,0.2789,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,High,31,-0.52892,58.1,0.05734,0.258,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,High,31,-0.00063,51.6,0.3296,0.4238,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,High,31,0.01307,45.2,0.4262,0.5047,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Mid,31,-0.00231,61.3,0.05512,0.258,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Mid,31,-0.20369,61.3,0.06692,0.2738,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Mid,31,-0.30845,61.3,0.03972,0.258,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Mid,31,-0.02165,54.8,0.1811,0.326,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Mid,31,-0.00315,51.6,0.3658,0.4573,ns
M1vsM2_12m,tertiles,Relative Disturbance,ETmax,Low,31,0.00177,48.4,0.7117,0.7626,ns
M1vsM2_12m,tertiles,Relative Disturbance,GPPsat,Low,31,-0.70137,61.3,0.1141,0.326,ns
M1vsM2_12m,tertiles,Relative Disturbance,NEPmax,Low,31,-1.17385,61.3,0.08974,0.2884,ns
M1vsM2_12m,tertiles,Relative Disturbance,WUE,Low,31,-0.03253,58.1,0.1384,0.326,ns
M1vsM2_12m,tertiles,Relative Disturbance,uWUE,Low,31,-0.04502,61.3,0.1709,0.326,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Mid,35,4e-04,45.7,0.8269,0.8759,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Mid,35,-0.10996,54.3,0.1995,0.3873,ns
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Mid,35,-0.16356,54.3,0.186,0.383,ns
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Mid,35,-0.02165,60,0.0759,0.2284,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Mid,35,-0.04885,51.4,0.1241,0.2853,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,Low,53,-2e-05,50.9,0.2885,0.439,ns
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,Low,53,-0.73889,71.7,0.002122,0.03713,*
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,Low,53,-1.17385,67.9,0.001844,0.03713,*
M1vsM2_12m,equal_width,Absolute Mortality,WUE,Low,53,-0.02307,54.7,0.2102,0.3873,ns
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,Low,53,-0.01859,56.6,0.2677,0.439,ns
M1vsM2_12m,equal_width,Absolute Mortality,ETmax,High,5,4e-04,40,,,""
M1vsM2_12m,equal_width,Absolute Mortality,GPPsat,High,5,1.1957,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,NEPmax,High,5,1.34198,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,WUE,High,5,0.03348,20,,,""
M1vsM2_12m,equal_width,Absolute Mortality,uWUE,High,5,0.05533,20,,,""
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Mid,33,0.00085,36.4,0.9286,0.9286,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Mid,33,-0.55252,72.7,0.0175,0.1657,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Mid,33,-0.53793,63.6,0.02367,0.1657,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,Mid,33,-0.00447,54.5,0.4644,0.5628,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Mid,33,0.01307,45.5,0.5214,0.6083,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,Low,53,-0.00091,56.6,0.2562,0.439,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,Low,53,-0.58265,58.5,0.03759,0.1774,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,Low,53,-0.63775,60.4,0.03278,0.1774,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,Low,53,-0.03253,56.6,0.06173,0.2161,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,Low,53,-0.04502,58.5,0.116,0.2853,ns
M1vsM2_12m,equal_width,Relative Mortality,ETmax,High,7,4e-04,42.9,0.7766,0.8494,ns
M1vsM2_12m,equal_width,Relative Mortality,GPPsat,High,7,0.88131,42.9,0.4663,0.5628,ns
M1vsM2_12m,equal_width,Relative Mortality,NEPmax,High,7,0.11693,42.9,0.2771,0.439,ns
M1vsM2_12m,equal_width,Relative Mortality,WUE,High,7,0.03348,42.9,0.3363,0.4904,ns
M1vsM2_12m,equal_width,Relative Mortality,uWUE,High,7,0.01642,42.9,0.3999,0.5184,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Mid,35,0.00071,40,0.8508,0.8759,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Mid,35,-0.56331,68.6,0.0224,0.1657,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Mid,35,-0.53793,60,0.04055,0.1774,ns
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Mid,35,-0.00447,54.3,0.3809,0.5128,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Mid,35,0.01307,42.9,0.6797,0.7674,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,Low,53,-0.00075,52.8,0.375,0.5128,ns
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,Low,53,-0.43922,58.5,0.07832,0.2284,ns
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,Low,53,-0.34252,60.4,0.04802,0.1868,ns
M1vsM2_12m,equal_width,Relative Disturbance,WUE,Low,53,-0.02307,54.7,0.1304,0.2853,ns
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,Low,53,-0.04502,58.5,0.1195,0.2853,ns
M1vsM2_12m,equal_width,Relative Disturbance,ETmax,High,5,-0.00013,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,GPPsat,High,5,-1.15454,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,NEPmax,High,5,-2.55421,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,WUE,High,5,-0.15516,60,,,""
M1vsM2_12m,equal_width,Relative Disturbance,uWUE,High,5,-0.18619,60,,,""
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,High,20,7e-05,50,0.7432,0.8108,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,High,20,-0.07716,55,0.2814,0.4523,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,High,20,0.39444,40,0.448,0.5306,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,High,20,0.02126,45,0.3614,0.4647,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,uWUE,High,20,0.00935,45,0.2814,0.4523,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,ETmax,Mid,43,0.00098,39.5,0.7748,0.8108,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,GPPsat,Mid,43,-0.63172,69.8,0.01142,0.1427,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,NEPmax,Mid,43,-1.0273,69.8,0.002592,0.1166,ns
M1vsM2_12m,natural_breaks,Absolute Mortality,WUE,Mid,43,-0.03362,62.8,0.1294,0.3236,ns
