response,window_memory,pair,n_sites,median_RMSE_withoutD,median_RMSE_withD,delta_pct,pct_sites_improved,p_onesided_wilcoxon,q_BH,sig
ETmax,Anomaly / 12m,C vs C+D,93,0.0375,0.0389,-0.21,52.7,0.1749,0.256, ns
ETmax,Anomaly / 12m,C+M vs C+M+D,93,0.0379,0.0383,-0.04,50.5,0.186,0.2657, ns
ETmax,Anomaly / 12m,C+T vs C+T+D,93,0.0362,0.0365,1.7,46.2,0.7512,0.8048, ns
ETmax,Anomaly / 12m,C+T+M vs C+T+D+M,93,0.0361,0.0369,0.89,47.3,0.6591,0.719, ns
ETmax,Anomaly / 24m,C vs C+D,93,0.0343,0.0394,2.19,43,0.5849,0.6622, ns
ETmax,Anomaly / 24m,C+M vs C+M+D,93,0.0353,0.0387,0.17,48.4,0.3637,0.4716, ns
ETmax,Anomaly / 24m,C+T vs C+T+D,93,0.0352,0.0333,2.16,40.9,0.9889,0.9889, ns
ETmax,Anomaly / 24m,C+T+M vs C+T+D+M,93,0.0348,0.0342,0.52,48.4,0.83,0.844, ns
ETmax,Raw-lag / 12m,C+M vs C+M+D,93,0.025,0.0262,0.12,49.5,0.5183,0.5998, ns
ETmax,Raw-lag / 12m,C+T+M vs C+T+D+M,93,0.0266,0.0267,1.49,47.3,0.3651,0.4716, ns
ETmax,Raw-lag / 24m,C+M vs C+M+D,93,0.0264,0.0261,-0.47,54.8,0.3536,0.4716, ns
ETmax,Raw-lag / 24m,C+T+M vs C+T+D+M,93,0.0272,0.0263,-0.36,53.8,0.427,0.5124, ns
GPPsat,Anomaly / 12m,C vs C+D,93,5.8781,5.2485,-9.12,60.2,0.001668,0.007697,**
GPPsat,Anomaly / 12m,C+M vs C+M+D,93,5.9358,5.0975,-9.17,62.4,0.001033,0.005634,**
GPPsat,Anomaly / 12m,C+T vs C+T+D,93,5.8597,5.4993,-7.57,67.7,0.0001056,0.001056,**
GPPsat,Anomaly / 12m,C+T+M vs C+T+D+M,93,5.8549,5.2801,-7.66,63.4,0.0002243,0.001922,**
GPPsat,Anomaly / 24m,C vs C+D,93,6.198,5.551,-12.05,62.4,0.0003531,0.002559,**
GPPsat,Anomaly / 24m,C+M vs C+M+D,93,6.1855,5.5388,-11.94,62.4,0.0003839,0.002559,**
GPPsat,Anomaly / 24m,C+T vs C+T+D,93,6.0951,5.4724,-6.73,67.7,0.0004851,0.002911,**
GPPsat,Anomaly / 24m,C+T+M vs C+T+D+M,93,5.887,5.5265,-8.35,66.7,9.499e-05,0.001056,**
GPPsat,Raw-lag / 12m,C+M vs C+M+D,93,3.5719,3.5821,0.47,49.5,0.4046,0.5046, ns
GPPsat,Raw-lag / 12m,C+T+M vs C+T+D+M,93,3.6374,3.503,-0.48,51.6,0.1912,0.2667, ns
GPPsat,Raw-lag / 24m,C+M vs C+M+D,93,3.8491,3.5705,-2.13,53.8,0.103,0.1671, ns
GPPsat,Raw-lag / 24m,C+T+M vs C+T+D+M,93,3.7274,3.7873,1.38,47.3,0.5199,0.5998, ns
NEPmax,Anomaly / 12m,C vs C+D,93,5.0452,4.3784,-15.79,64.5,9.075e-05,0.001056,**
