SITE_ID,IGBP,mean_tree_cover
US-xJR,OSH,0.192577624773404
CN-Zha,WET,0.428977697949409
US-xMB,OSH,1.29696984815979
US-Ses,OSH,1.49901461857007
US-Jo1,OSH,3.02538708443513
ZA-BfK,OSH,3.15635383924562
CN-Sdq,OSH,4.20976151274759
US-Vcm,ENF,6.09523413549757
US-xTL,WET,6.26251559147832
US-EDN,WET,6.61115031254232
CN-HeM,DBF,6.91508880906052
US-Rws,OSH,7.12327780985168
US-ICh,OSH,7.38059283651261
ZA-BfS,OSH,7.86869231153021
US-ICt,OSH,7.97308564364395
US-ICs,WET,8.38116383109647
US-xSR,OSH,8.97920304678276
